university,dimension,label,tone,rationale,evidence_quote,chunk_id
Princeton University,Purpose_Scope,2,NA,"Explicit statement of purpose and scope covering all university information, not limited to research.",The purpose of this policy is to manage the use of Princeton University administrative and operational information with generative AI tools.,1
Princeton University,Permitted_Uses,1,NA,Policy allows use but only of licensed tools; no detailed list of permissible contexts.,only generative AI tools licensed by the University should be used,1
Princeton University,Prohibited_Uses,2,NA,Clear prohibition on public tools with any university data.,The use of publicly available generative AI tools in conjunction with such Princeton Information is not permitted,1
Princeton University,Disclosure_Citation_Requirements,0,NA,No mention of disclosure or citation obligations for outputs.,,1
Princeton University,Accountability_Enforcement,2,NA,Explicit enforcement mechanism and potential penalties cited.,Failure to comply with this policy may subject you to disciplinary action,1
Princeton University,Pedagogical_Integration,0,NA,Policy does not address teaching or learning integration of AI tools.,,1
Princeton University,Ethical_Equity_Considerations,1,NA,Mentions openness but lacks detailed equity or bias considerations.,"supporting the open, information-sharing needs of our academic culture",1
Princeton University,Tone_Orientation,NA,NA,"Overall tone limits public tool usage, emphasizing security.",The use of publicly available generative AI tools in conjunction with such Princeton Information is not permitted,1
Princeton University,Implementation_Authority,2,NA,Policy delegates implementation to separate documents but indicates authority exists.,Standards and procedures related to this Information Security Policy will be developed and published separately.,1
Princeton University,Tools_Specificity,1,NA,Defines licensed tools but does not list specific products or versions.,University-licensed generative AI tool: generative AI tool for which the University maintains an enterprise agreement,1
Princeton University,Purpose_Scope,0,,No statement about purpose or scope of generative AI policy is present.,,2
Princeton University,Permitted_Uses,0,,The excerpt does not describe any permitted uses of generative AI.,,2
Princeton University,Prohibited_Uses,0,,No prohibited uses of generative AI are mentioned.,,2
Princeton University,Disclosure_Citation_Requirements,0,,There is no reference to disclosure or citation requirements for AI-generated content.,,2
Princeton University,Accountability_Enforcement,0,,The text does not address accountability mechanisms or enforcement related to AI use.,,2
Princeton University,Pedagogical_Integration,0,,No discussion of integrating generative AI into teaching or learning activities is found.,,2
Princeton University,Ethical_Equity_Considerations,0,,The excerpt does not address ethical or equity issues concerning AI.,,2
Princeton University,Tone_Orientation,0,,No tone regarding generative AI policy is present.,,2
Princeton University,Implementation_Authority,0,,There is no mention of who implements or oversees a generative AI policy.,,2
Princeton University,Tools_Specificity,0,,The passage does not list specific AI tools or provide detailed guidance for their use.,,2
Princeton University,Purpose_Scope,1,Restrictive,"The excerpt outlines security responsibilities, indicating a purpose to safeguard information, but does not explicitly define scope for AI use.",Information must be appropriately protected,3
Princeton University,Permitted_Uses,0,NA,No permitted uses of generative AI are specified.,,3
Princeton University,Prohibited_Uses,1,Restrictive,"Imposes restrictions on handling information, implying prohibited actions related to data misuse.","Not divulge, copy, release, sell, loan, alter or destroy any University Information",3
Princeton University,Disclosure_Citation_Requirements,0,NA,No disclosure or citation requirements are mentioned.,,3
Princeton University,Accountability_Enforcement,2,Restrictive,Clearly defines responsibilities and expectations for compliance.,"All Princeton University faculty, staff, students ... are expected to:",3
Princeton University,Pedagogical_Integration,0,NA,No reference to educational integration of AI tools.,,3
Princeton University,Ethical_Equity_Considerations,0,NA,The excerpt does not address ethical or equity issues.,,3
Princeton University,Tone_Orientation,1,Restrictive,"Overall tone is cautious and security‑focused, leaning toward restrictive.",Information must be appropriately protected,3
Princeton University,Implementation_Authority,2,NA,Specifies clear authority for procurement decisions and oversight.,"If you would like the University to consider licensing a particular generative AI tool, contact Vice President and CIO Daren Hubbard",3
Princeton University,Tools_Specificity,1,NA,Mentions specific review process but lacks detailed tool specifications.,schedule an Architecture & Security Review (ASR),3
Massachusetts Institute of Technology,Purpose_Scope,2,Balanced,"Explicitly states purpose and scope covering security, privacy, compliance, academic integrity.","initial guidance to encourage community members to consider factors including information security, data privacy, regulatory and policy compliance...",1
Massachusetts Institute of Technology,Permitted_Uses,1,NA,Mentions permitted use for teaching but no detailed list; weak presence.,recommend the use of these resources on generative AI and teaching provided by the Teaching and Learning Laboratory,1
Massachusetts Institute of Technology,Prohibited_Uses,2,NA,Clear prohibited activities listed.,"Do not use generative AI for purposes that may require in-depth risk assessments... recruitment and hiring of employees, evaluating student academic performance, making investment decisions, and complaint and dispute resolution",1
Massachusetts Institute of Technology,Disclosure_Citation_Requirements,2,NA,Mandates disclosure in all relevant contexts.,"Be transparent about your use of AI tools ... You should disclose the use of generative AI tools for all academic, educational, and research-related uses.",1
Massachusetts Institute of Technology,Accountability_Enforcement,1,NA,Provides contacts and consultation but lacks enforcement mechanisms; weak presence.,Please contact mitogc@mit.edu for further guidance on research-related applications or development of AI tools. Consult with IS&T before purchasing or using generative AI tools,1
Massachusetts Institute of Technology,Pedagogical_Integration,1,NA,Mentions pedagogical recommendation but no detailed integration framework.,MIT's Chair of the Faculty has recommended the use of these resources on generative AI and teaching provided by the Teaching and Learning Laboratory.,1
Massachusetts Institute of Technology,Ethical_Equity_Considerations,2,NA,"Addresses legal, privacy, and security aspects; strong ethical stance.","ensure that your use of generative AI tools and services complies with all applicable federal and state laws... follows all guidelines outlined on Information Protection, the Institute's Written Information Security Program (WISP)",1
Massachusetts Institute of Technology,Tone_Orientation,2,NA,"Overall tone is cautious and regulatory, leaning toward restrictive but balanced with encouragement.","initial guidance to encourage community members to consider factors including information security, data privacy...",1
Massachusetts Institute of Technology,Implementation_Authority,1,NA,Mentions IS&T authority but no explicit enforcement body; weak presence.,IS&T recommends MIT community members first consider using tools and services which have already been licensed by IS&T for use by the MIT community.,1
Massachusetts Institute of Technology,Tools_Specificity,2,NA,"Provides specific guidance for tools, licensing, and compliance checks; strong specificity.","consultation on your planned use of AI and an assessment of the tool or service before it is used. If an MIT DLCI is already using a generative AI tool or service, ensure that the tool complies with all Institute policies",1
Massachusetts Institute of Technology,Purpose_Scope,1,Balanced,The policy references research contexts but does not fully define scope.,research-related uses,2
Massachusetts Institute of Technology,Permitted_Uses,0,NA,No explicit permitted uses are stated in the excerpt.,,2
Massachusetts Institute of Technology,Prohibited_Uses,1,Restrictive,The policy explicitly prohibits undisclosed publication of AI-generated content.,Do not publish research results that rely on content generated through the use of a generative AI tool,2
Massachusetts Institute of Technology,Disclosure_Citation_Requirements,2,NA,Clear requirement to disclose AI usage when publishing research results.,without disclosing the nature of the use of such generative AI tool in producing the content,2
Massachusetts Institute of Technology,Accountability_Enforcement,0,NA,No enforcement mechanisms or accountability provisions are mentioned.,,2
Massachusetts Institute of Technology,Pedagogical_Integration,0,NA,The excerpt contains no reference to teaching or learning integration of generative AI.,,2
Massachusetts Institute of Technology,Ethical_Equity_Considerations,0,NA,There is no discussion of ethical or equity implications in the provided text.,,2
Massachusetts Institute of Technology,Tone_Orientation,1,NA,The tone leans toward restrictive but remains balanced overall.,Do not publish research results that rely on content generated through the use of a generative AI tool,2
Massachusetts Institute of Technology,Implementation_Authority,0,NA,No authority or responsible entity is identified in this excerpt.,,2
Massachusetts Institute of Technology,Tools_Specificity,1,NA,"Mentions a specific tool list, indicating some specificity but not exhaustive.",Resources IS&T's list of generative AI tools available at MIT,2
