Theme,Total_Frequency,Example_Description,Universities_Covered
**Academic Integrity**,257,"Repeated references to existing integrity rules (RRR) governing originality, misrepresentation, and disciplinary action for AI‑generated work.",43
**Academic Integrity / Plagiarism**,58,"Policies, guidelines, and concerns about student authorship when using AI‑generated text.",9
**Security & Privacy**,31,"Highlights protection of institutional data, personal information, and compliance with privacy principles.",6
**Academic Integrity / Cheating**,29,The policy frames unauthorized AI use as cheating and stresses clear rules to prevent violations.,4
**Data Privacy & Security**,29,"Guidelines on what data may or may not be shared with AI tools, including PII, FERPA‑protected records, and password hygiene.",7
**Citation & Attribution**,28,Rules for citing AI‑generated content and limiting its proportion in work.,7
**Privacy & Data Protection**,27,"Restrictions on sharing personal, confidential or proprietary data with AI tools; FERPA and protection‑level references.",4
**Academic Integrity / Misconduct**,23,Repeated references to policy violations being treated as academic misconduct and the importance of clear expectations.,4
**Bias & Fairness**,21,Recognition that training data can be biased and the need for human oversight to detect bias.,6
**Data Privacy / Confidentiality**,21,Notes on not uploading confidential student work to GAI systems and the lack of privacy guarantees.,4
**Transparency & Communication**,21,Emphasis on openly sharing AI policies with students and among faculty to avoid confusion in the absence of a default policy.,5
**Generative AI**,19,The policy centers on the use and implications of generative‑AI tools in higher education.,3
**AI‑Use Guidelines**,18,"Specific rules for how students may use generative AI tools (e.g., disclosure, “AI Statement”) and the conditions under which they are allowed.",2
**Bias & Accuracy Concerns**,18,"Emphasis on recognizing potential bias, verifying facts, and deleting unverifiable content.",3
**Assignment Design**,17,"Strategies to craft tasks that emphasize process, reflection, and critical engagement with AI rather than pure output.",3
**Student Learning & Critical Thinking**,17,"Emphasis on scaffolding writing, fostering critical appraisal of AI output, and developing students’ voice and agency.",2
**Transparency & Disclosure**,17,"Requirement to disclose AI involvement in communications, research, or teaching materials.",3
**Transparency**,17,"Policies must be openly posted on syllabi, assignment guides, and other course documents; instructors should explain the rationale behind each rule.",4
**Instructor Discretion**,16,Instructors are empowered to set their own rules about AI use and must communicate them in syllabi.,3
**Assignment Design & Process**,15,"Strategies for structuring assignments (outlines, drafts, peer review, reflection) to promote deep learning.",1
**Permissible Uses (Productivity & Creativity)**,15,"Examples of acceptable tasks such as brainstorming, drafting headlines, SEO, editing, image retouching, etc., that enhance productivity while preserving human creativity.",1
**Responsible & Ethical Use**,15,"The policy emphasizes that generative AI must be used responsibly and ethically, aligning with institutional principles and mission.",3
**AI Integration**,14,"The policy encourages faculty to explore and integrate AI technologies into teaching, research, and administration.",2
**AI Usage Policy**,14,The text explains that the use of AI tools like ChatGPT is governed by course‑specific policies set by instructors.,3
**Academic Integrity & Policy**,14,"The document repeatedly references the Student Conduct Code, academic honesty, and the need for clear guidelines on AI use in coursework.",2
**Faculty Responsibilities**,14,"Discussing integrity, setting consequences, and documenting incidents.",2
**Policy Clarity & Communication**,14,The document encourages instructors to state their policy clearly in syllabi and invites students to seek clarification before submitting AI‑informed work.,2
**Prohibited Uses**,14,"The policy lists activities that are disallowed, including using AI to answer homework, write essays, or produce material without proper documentation.",2
**Academic Integrity / Honor Code**,13,Links AI usage policies to existing honor codes and integrity statements across campuses.,2
**Attribution & Citation**,13,Requirement that any AI‑generated content be properly cited and documented to satisfy academic honesty policies.,3
**Ethical Use of AI**,13,"Repeated calls for transparency, responsible use, and alignment with academic integrity.",3
**Policy Communication**,13,"Emphasis on creating syllabi templates, FAQs, and public events to explain AI rules.",3
**Responsibility**,13,Emphasizes that students must own their work and disclose any AI assistance; ties to plagiarism/cheating rules.,2
