teacher_id,school_level,years_experience,ai_confidence,pd_hours,district
T001,Elementary,5,3,11.9,West
T002,High,13,3,19,East
T003,High,21,4,21.4,West
T004,High,10,4,19.2,East
T005,Middle,4,0,19.7,East
T006,Middle,9,1,21,North
T007,Middle,16,3,10.1,West
T008,High,6,3,12.2,West
T009,High,2,5,16.4,South
T010,Middle,6,2,16.7,East
T011,Elementary,21,2,20.1,East
T012,Elementary,-2,1,21.4,North
T013,Middle,4,2,22.3,North
T014,High,3,4,23.5,South
T015,Elementary,13,3,16.1,North
T016,High,1,4,13,West
T017,High,29,1,11.1,South
T018,Elementary,21,7,21.8,East
T019,Middle,7,5,14,West
T020,Elementary,8,3,14.6,South
T021,Elementary,7,5,24.4,West
T022,Elementary,7,4,30.4,East
T023,Middle,23,4,20.8,West
T024,High,13,2,15.2,South
T025,Middle,2,2,20.9,South
T026,Middle,34,4,19,East
T027,Middle,31,4,20.5,East
T028,High,24,1,10.5,South
T029,Elementary,19,1,17.7,North
T030,Middle,9,4,17,South
T031,Elementary,28,5,19.1,East
T032,High,10,5,8.6,South
T033,High,25,3,16.1,East
T034,Elementary,0,1,17.9,South
T035,Middle,22,1,17.9,East
T036,High,26,3,19.8,North
T037,Middle,17,4,11,North
T038,High,21,5,16.7,South
T039,High,22,2,23.7,West
T040,High,29,2,18,East
T041,Elementary,20,1,15.1,West
T042,Middle,27,4,11.7,East
T043,High,29,5,22.9,East
T044,Elementary,1,2,21.8,West
T045,High,20,1,13.5,East
T046,Elementary,3,5,19.5,South
T047,Middle,2,1,16.5,North
T048,Elementary,10,4,7.1,South
T049,Middle,35,4,26.4,East
T050,Middle,30,3,14.4,North
T051,High,6,3,15.1,West
T052,Elementary,27,1,13.1,East
T053,High,9,5,15.1,East
T054,Elementary,25,4,29,West
T055,Middle,16,5,16.9,West
T056,Elementary,19,3,25.4,South
T057,Elementary,13,2,19.3,South
T058,Elementary,16,2,13.9,North
T059,High,6,2,22.5,East
T060,High,0,3,0.3,North
